lane,entry_date,arrival_date,tonnes,delivered_cost,arrival_dest_price,phys_pnl_per_t,hedge_pnl_per_t,pnl_per_t,pnl
BR_SANTOS->NL_ROTTERDAM,2022-04-20,2022-05-13,60000,469.4204255572268,448.7667952563497,-20.65363030087707,10.635413631260235,-10.018216669616834,-601093.0001770101
BR_SANTOS->NL_ROTTERDAM,2022-04-22,2022-05-17,60000,468.98529050763386,429.2262031462434,-39.75908736139047,24.522665356871016,-15.236422004519454,-914185.3202711672
US_NOLA->NL_ROTTERDAM,2022-06-17,2022-07-06,60000,425.7960039397668,420.78574888928625,-5.010255050480566,1.7778457054546948,-3.2324093450258715,-193944.56070155228
BR_SANTOS->NL_ROTTERDAM,2022-06-17,2022-07-12,60000,430.3159797461637,410.23118334472076,-20.08479640144293,12.415769719569198,-7.669026681873731,-460141.60091242386
US_NOLA->NL_ROTTERDAM,2022-07-06,2022-07-25,60000,410.46699962979966,406.9628861980549,-3.50411343174477,0.958612721793827,-2.545500709950943,-152730.04259705657
US_NOLA->NL_ROTTERDAM,2022-07-12,2022-07-29,60000,401.4224152544662,411.6890347874917,10.266619533025505,-11.93494629972622,-1.6683267667007158,-100099.60600204294
US_NOLA->NL_ROTTERDAM,2022-08-16,2022-09-02,60000,404.83372804311466,395.6235002891744,-9.210227753940273,3.169631552477256,-6.040596201463018,-362435.77208778105
BR_SANTOS->NL_ROTTERDAM,2022-08-16,2022-09-08,60000,405.3369326394292,401.3979958349566,-3.9389368044726325,-5.0390145247051805,-8.977951329177813,-538677.0797506687
US_NOLA->ES_BARCELONA,2022-09-02,2022-09-22,60000,387.93897694382764,407.84800829498636,19.909031351158717,-17.836253320939704,2.0727780302190126,124366.68181314076
US_NOLA->ES_BARCELONA,2022-09-13,2022-10-03,60000,397.55726256058114,413.689002426588,16.131739866006853,-11.83917471600256,4.292565150004293,257553.90900025758
US_NOLA->ES_BARCELONA,2022-09-22,2022-10-12,60000,401.367590782986,427.5832703517026,26.21567956871661,-19.33310620047149,6.882573368245119,412954.4020947071
US_NOLA->ES_BARCELONA,2022-10-04,2022-10-24,60000,407.500519158216,406.77499637050335,-0.7255227877126345,10.944035945438486,10.218513157725852,613110.7894635511
US_NOLA->ES_BARCELONA,2022-10-12,2022-11-01,60000,404.47664218256756,411.6915053374746,7.21486315490705,19.22044458292919,26.43530773783624,1586118.4642701745
